comment	label
we do what our customers need, we communicate aperiodically.	all, lot, systemize
gsc very much focused on data quality and improved a lot in this area. gsc has tried a lot to build a trust amongst our business partners.	all, lot, systemize
new global ceo with freight forwarding experience, approachable and positive. realistic targets set and focus on service excellence	all, lot, systemize
the focus back to customer service at the desk level. in changes past couple years, we created an environment of data entry clerks, but appears we are slowly returning to entrepreneurship and freight forwarding environment that brings customers value	all, lot, systemize
channelling of complaints sent by clients are being served on time and we are working to avoid these from happening again.	all, lot, systemize
our competition is always looking up at us and they respect us because of our global footprint and our people that make all the difference especially for our customers.	all, lot, systemize
please use the following open comment boxes to provide more detail on topics you might want to address. you are a valued employee to us and we welcome your additional thoughts and concerns. (please refrain from using people’s names or language that m	all, lot, systemize
job is done on time without mistakes to ensure customer satisfaction making client enjoy their contract with you.	all, lot, systemize
we need more rest most especially night shift at least deserves 2 days off.	all, lot, systemize
new customers being attracted  kpis being followed well  customer demands are being taken care on time  inventory is being maintained properly	all, lot, systemize
the warehouse is doing well overall in maintaining the daily tasks , housekeeping is looked after well , safety has improved.	all, lot, systemize
for me working with [company] is all about being punctual and responsible at work place. really love to work on critical shipments with efficiency to deliver excellence to all the customer.this is possible by taking ownership of the shipment and team work.	all, lot, systemize
i feel that we do have as employees the freedom to act and the new tools that be been/being developed are in line with what is needed to compete eg. ocean view, geoi, oqt etc.	all, lot, systemize
our value adds for larger bc, mnc and csi are really working well,	all, lot, systemize
working well is finish all of our job with our heart then customer will satisfied with service we made. responsible with every action we take	all, lot, systemize
for dell, we successfully handled all its exporting  biz ex china for 8 years, through the long cooperation, we setup a classic example in this industry.	all, lot, systemize
always find the workarounds (instead of avoid situations where it's required)	all, lot, systemize
do things in a correct way on time and always focus in customer needs	all, lot, systemize
we handle our customers requirements well even though it could be very difficult and challenging at times to meet deadlines. we are doing well due to familiarity of the work the systems to do the job.	all, lot, systemize
day to day operations are going smooth, company is growing well.	all, lot, systemize
everyone that i interact with works very quickly to resolve and answer any concerns or requests made by the customer.	all, lot, systemize
i believe with the re-opening of stations will allow us to focus on the customer and believe this will translate to new business. i am excited of the direction [company] is taking and looking forward to a successful 2018	all, lot, systemize
working well is working with efficiency way and the final results is positive from internal and external customers.	all, lot, systemize
have regular meeting to let all staff understand company's needs.  provide opportunity to learn and process new tasks/projects	all, lot, systemize
clear kpi and operation standard to serve the account	all, lot, systemize
we don't need top dress up for this job.  we don't need to finger punch in here.  if the dept sup knew what we do. they could understand the help that's needed.	all, lot, systemize
new system called edm is help us very well & also new lo tool for e-booking is much help to archive our kpi	all, lot, systemize
customer service is working well.  the problem that is not working with a lot of customers is that they barely know what [company] is moving their freight and they have to call to check which one has their freight.	all, lot, systemize
technology upgrades (customs management, edm, navigator chb) have improved vastly over last year. this is allowing us to complete customer entries more quickly regardless of new pga requirements.	all, lot, systemize
the work ethics is very good and customer focus.  last year hr has done an excellent change of reducing the working to 5 pm which is really appreiciated.	all, lot, systemize
i am proud to work in [company], i support and like the innovative strategies taken by my company to improvise. the measures taken to help environment and the world is a great inspiration for us to do our part as well.	all, lot, systemize
being recognized for any appreciation received from the customer and also appraised within the team. it basically helps to motivate every individual.	all, lot, systemize
working towards looking after our customers but not for free like past years.	all, lot, systemize
top management seems realized what went wrong in the past a few years of [company] failure.	all, lot, systemize
i see clearly in my working enviroment how customer prefer to have a dedicated tlm as a contact person.	all, lot, systemize
im sell. the target process for hunter customer  implementations with my team work pretty well	all, lot, systemize
we have a good cs and for feed back we do customer satiation survey every year	all, lot, systemize
handling of piece of paper only but once as this will act against any possible delays in processing of work. do it right first time.	all, lot, systemize
we would rather argue internally than take care of the customer.	all, lot, systemize
co trying hard to move in the right direction.still morale issues at the agent level.no sense of urgency in many.the ones that do have sense of responsibility,accountability and urgency are super busy because many go to them for results, corrections,	all, lot, systemize
teams and individuals that i work directly with are supportive and are driven to provide customers with the service they require. problems are handled effectively and local issues can be addressed timely. i feel like a part of a team locally.	all, lot, systemize
the opening of new stations and responsibilities of p&l back to station level who will need to take lead in ensuring customers is happy and keeping the customer. the cs and operational activities back to station that control to keep cust happy	all, lot, systemize
i enjoy working for [company], the team is young and dynamic, open to out of the box ideas just to make the customer happy. i am learning everyday something new and i hope to get the chance to grow within the company.	all, lot, systemize
we like our clients and we try to help them in difficult situations	all, lot, systemize
locally we problem solve together to come up with solutions to get opportunities across the line even when this means doing things outside the square.we are focused on the day to day topics that actually make the difference to our customers.	all, lot, systemize
as a team, we always work, to ensure that our customers are been satisfied and meet their requirements at all times... bcos we strongly feel, its the customers who pay our salaries, and also strongly feel, we have jobs only bcos of our customers.	all, lot, systemize
customer and their feedback is taking very seriously which keeps us focussed	all, lot, systemize
empowering stations to take control of their p&l. direct consols if possible. more involvement and feedback from local stations on rfq's	all, lot, systemize
we have a great team here at intel traffic dept! in front of the customer is always tough, and they all make it look easy!	all, lot, systemize
lss traffic intel santa clara is working well. the working relationship between lss and intel lom [name] is going well. intel bu's, and customers are satisfied and pleased with the customer service provided by lss traffic.	all, lot, systemize
customs brokerage pricing, implementation and customer service have vastly improved since the cae miscue.  the auto and e & m control towers was a very good move.	all, lot, systemize
opening new stations, and having them and sales be responsible for the station p&l	all, lot, systemize
night shift allowance, would be better if increased. work responsibility.	all, lot, systemize
data quality in terms of ensuring the correct information is uploaded/ relayed to stations.  roll out and handover documents are working well	all, lot, systemize
finance has been sharing this financial report on a weekly basis, customer service  uses this report to update their client.  file handover has reduced from 1hour to an average 30 minutes this is because pre-alert are received early enough.	all, lot, systemize
open door policy to resolve any form of queries. performance dialogue. sense of ownership by employees in their various functions have led to success in serving customers.	all, lot, systemize
company creates equal opportunity to each employee and recognizes those who go an extra mile to ensure customer needs are met	all, lot, systemize
trying to meet requirements of customers - internal and external.	all, lot, systemize
generally customers are not happy with our performance so we are loosing out a lot biz to competitors which has led to the massive reduction of our volumes we are currently handling.	all, lot, systemize
that every file / every enquiry / every customer is treated with utmost importance.  gaps are identified and closed almost immediately.  there is a passion for improvement and accuracy.	all, lot, systemize
we are more focused on customer satisfaction  team work spirit became more and more  improving current processes to make less mistakes during operational flow	all, lot, systemize
the current set up of desks by sector improves the billing/day to day activities & control.  customers are satisfied & the visibility has been improved	all, lot, systemize
employees do best to meet customer expectation, demonstrate ability to go extra mile	all, lot, systemize
target setting and following up.	all, lot, systemize
we are now a more customer focused company. cs& ops merger would be a good beginning. favoritism has now taken a shade but we need to be more professional in approach. ijp should carry more authenticity.	all, lot, systemize
process setting should be taken up by bpo, current process of kams/cs make the process takes away a lot of time and the process is set as per an individual/may not be right from a process standpoint. csi customers should have approved loc spec cop	all, lot, systemize
the way we respect and treat our customers	all, lot, systemize
lot of training initiatives is helping people to understand the values of the company and be on the same page and live up to those values on daily basis.	all, lot, systemize
time to time call to clients with ops and try to improve service level.	all, lot, systemize
considering the number of people who are no longer with [company], there still remains a number of people who work effectively and efficiently. these individuals take pride in their work, care about the services we provide, and take initiative.	all, lot, systemize
for external customers, we are working very good.	all, lot, systemize
beside hard economic times, i can see the company is always looking into a better performance with our customers.	all, lot, systemize
the service we provide our costumers. if i was a costumer i would choose our company as a service provider. [name] has done a great job here in the san juan station.	all, lot, systemize
i believe we are lacking in customer services.  one of the main complaints is not being answered via phones or e-mails. multiple messages-no answer. some department no left after 4:30 pm.	all, lot, systemize
positive changes inside the company things are going in the right direction	all, lot, systemize
we still have major customers that are well looked after and managed	all, lot, systemize
in the team i work within we all cooperate with each other very well.  if there is an issue with the customer we deal with we have a meeting and all actively come up with a solution, no idea is ever ignored.	all, lot, systemize
reinforced communications to all  listening by the management to the employees  acceptance of the fact that we need to listen to the customer feedback	all, lot, systemize
effective communication to employees via bulletins and town hall meetings.	all, lot, systemize
employee engagement topics pushing business in right direction and under new uk leadership i feel very positive about the future at [company] uk!	all, lot, systemize
culture and lead by example	all, lot, systemize
employee engagement is extremely high and helps us to overcome the many challenges we face.	all, lot, systemize
not this survey, its a waste of time and out dated, maybe if we truly listened to the employee that maybe a start, but having this tailored survey just ticks boxes and in fact enrages people: make a decision is this optional or mandatory	all, lot, systemize
communication with all level e.i [company] uk insight call for all staff.	all, lot, systemize
work is always the first priority and all kinds of support is provided to an individual for completion of assigned tasks or projects	all, lot, systemize
employee engagement plays a very important roll in the organization as we our hr team is always there with new on floor activities like yoga sessions, annual party, carom competition, tt tournament, soccer tournament, and many more really inspiring.	all, lot, systemize
good employee connect and openness towards new ideas.	all, lot, systemize
