comment	label
customs business development continues to grow and expand, through the use of our internal business network & the team of people which are in place at the moment	company
"to change the global forwarding business unit back to ""forwarding mode"" is very good."	company
however it is important these roles are distributed to the correct people and not some management level where the customer relationship is not supported	company
lots of big and positive changes taken place.	company
working towards new application cw1 also implementing new changes in old and new applications	company
working well is giving what your business partners wants	company
operations team which are the heart of the company doesn´t have a good performance.	company
the gsc roadmap is well defined and has provided a structural approach to the org.	company
there are new initiatives that look promising.	company
effort is being made to enhance the quality and support to the bp.	company
we drive and encourage continuous improvement via four dimensions:performance management,process efficiency,mindset and behavious and skills & organizations.all these are for the core customer satisfaction.	company
gsc has tried a lot to build a trust amongst our business partners.	company
push for cost optimization, standardization is yielding positive outcome albeit slow yet steady.	company
new global ceo with freight forwarding experience, approachable and positive.	company
in changes past couple years, we created an environment of data entry clerks, but appears we are slowly returning to entrepreneurship and freight forwarding environment that brings customers value	company
everyone's knowledge of their daily work is clear.	company
i like the timeframe we use to deliver to our customers	company
never ending pressure on productivity and cost optimization has a direct impact on service quality and failures.	company
as is business process works	company
channelling of complaints sent by clients are being served on time and we are working to avoid these from happening again.	company
our product is strong and is continuing to grow	company
our company's process and running are very respectfull.	company
credit card customers,working with [company], and some of our sales managers.	company
please use the following open comment boxes to provide more detail on topics you might want to address. you are a valued employee to us and we welcome your additional thoughts and concerns.	company
i work very proud of this company..new idyas and davalaping  my managment giving me new idyas and work knowlege	company
innovation through process improvements and the initiation of tools.	company
our new process	company
we make the impossible possible!	company
not just words, that the clients wants to hear - but 100% follow all safety guidelines, and if they are not followed, we stop the work.	company
i feel that we do have as employees the freedom to act and the new tools that be been/being developed are in line with what is needed to compete eg.	company
ocean view, geoi, oqt etc.	company
the customer focus drive is helping us to gain more business wins	company
our company is adapting the changes as per the global and  making changes what is really required to the customer as well as employees	company
[company] is a good company	company
we need regular communicate with customer to understanding their requirement and work out better solution.	company
always find the ways to improve our servicec	company
to be using a system which is simplified for customers to can understand with ease.	company
swift, accurate and safe movement of cargo to the consignee building up trust in customers towards [company].	company
for dell, we successfully handled all its exporting  biz ex china for 8 years, through the long cooperation, we setup a classic example in this industry.	company
always find the workarounds (instead of avoid situations where it's required)	company
do things in a correct way on time and always focus in customer needs	company
it's receives all the equipment, it is going to more that the customer is asking .... looking the satisfaction and productivity.	company
we handle our customers requirements well even though it could be very difficult and challenging at times to meet deadlines.	company
i think certain changes, like the two-step process and the updates to kewill have improved our timeliness for our customers.	company
reopening offices previously closed has been very helpful.	company
spreading the cdz entry processing over several stations as well as contingency planning has improved the process greatly.	company
highly focusing on satisfying customers  employee engagement practices within the department  learning and development  continuous improvement	company
many improvements within products and in stations which in turn have a positive impact on our customers.	company
going back to our basics of being freight forwarders and local presence in the markets we have interest in growing our market share.	company
new appointment of management positions (global and us level).	company
overall complexity reduction in the programs and initiatives, so, the focus is back on the business	company
and the quality of product we put out reflects [company] standards.	company
have regular meeting to let all staff understand company's needs.	company
new system called edm is help us very well & also new lo tool for e-booking is much help to archive our kpi	company
our product to me is the best product the company has to offer.	company
the problem that is not working with a lot of customers is that they barely know what [company] is moving their freight and they have to call to check which one has their freight.	company
improving strategies and methods of providing adequate service to those served.	company
this is allowing us to complete customer entries more quickly regardless of new pga requirements.	company
i see programs and plans drawn up to have better communication between customers and information concerning their shipments.	company
there are steps taken to improve the quality of work and atmosphere in the company	company
the drive towards continuous improvement, specially with tms plan is something in line and looking forward to	company
there is good vision for the company .	company
i am proud to work in [company], i support and like the innovative strategies taken by my company to improvise.	company
[company] has the right vision and shares that with all staff.	company
with the new system hopefully that will fix the shortfalls with the current system	company
working towards looking after our customers but not for free like past years.	company
we have moved on from nfe which is great from a billing perspective	company
suggestion we should keep open each job until successful recovery against [company] quality of services.	company
simplify the internal process	company
the internal teams are inspired to fulfillment obligations laid out in the customers sops and go the extra mile to deliver the results when proper parameter are fixed in place for continuous service monitoring and improvement	company
as [company], we truly stick with quality service for our customers while truly keeping upto the standard of the [company] brand.	company
